question,answer,category,num_evidence,BM25,TF-IDF,SVM,FAISS,Time-Weighted,any_retriever_found
When did Melanie's friend adopt a child?,2022,2,1,1,1,0,0,0,1
When did Melanie get hurt?,September 2023,2,1,0,0,0,0,0,0
When did Melanie's family go on a roadtrip?,The weekend before 20 October 2023,2,1,0,0,0,0,0,0
How many children does Melanie have?,3,1,2,0,0,0,0,0,0
When did Melanie go on a hike after the roadtrip?,19 October 2023,1,1,0,0,0,0,0,0
Would Melanie go on another roadtrip soon?,Likely no; since this one went badly,3,2,0,0,0,0,0,0
What items has Melanie bought?,"Figurines, shoes",1,2,0,0,0,0,0,0
When did Caroline pass the adoption interview?,The Friday before 22 October 2023,2,1,0,0,0,0,0,0
When did Melanie buy the figurines?,21 October 2023,2,1,1,1,0,0,0,1
Would Caroline want to move back to her home country soon?,No; she's in the process of adopting children.,3,2,0,0,0,0,0,0
What did the charity race raise awareness for?,mental health,4,1,1,1,1,1,1,1
What did Melanie realize after the charity race?,self-care is important,4,1,1,0,0,0,0,1
How does Melanie prioritize self-care?,"by carving out some me-time each day for activities like running, reading, or playing the violin",4,1,0,0,0,0,0,0
What are Caroline's plans for the summer?,researching adoption agencies,4,1,0,0,0,0,0,0
What type of individuals does the adoption agency Caroline is considering support?,LGBTQ+ individuals,4,1,0,0,0,0,0,0
Why did Caroline choose the adoption agency?,because of their inclusivity and support for LGBTQ+ individuals,4,1,0,0,1,0,0,1
What is Caroline excited about in the adoption process?,creating a family for kids who need one,4,1,0,0,0,0,0,0
What does Melanie think about Caroline's decision to adopt?,she thinks Caroline is doing something amazing and will be an awesome mom,4,1,0,0,0,0,0,0
How long have Mel and her husband been married?,Mel and her husband have been married for 5 years.,4,1,0,0,0,0,0,0
What does Caroline's necklace symbolize?,"love, faith, and strength",4,1,0,0,0,0,0,0
What country is Caroline's grandma from?,Sweden,4,1,1,1,0,0,0,1
What was grandma's gift to Caroline?,necklace,4,1,1,1,0,0,0,1
What is Melanie's hand-painted bowl a reminder of?,art and self-expression,4,1,1,1,1,1,0,1
What did Melanie and her family do while camping?,"explored nature, roasted marshmallows, and went on a hike",4,1,0,0,0,0,0,0
What kind of counseling and mental health services is Caroline interested in pursuing?,"working with trans people, helping them accept themselves and supporting their mental health",4,1,0,0,0,0,0,0
What workshop did Caroline attend recently?,LGBTQ+ counseling workshop,4,1,0,0,0,0,0,0
What was discussed in the LGBTQ+ counseling workshop?,therapeutic methods and how to best work with trans people,4,1,1,1,1,1,0,1
What motivated Caroline to pursue counseling?,"her own journey and the support she received, and how counseling improved her life",4,1,0,0,0,0,0,0
What kind of place does Caroline want to create for people?,a safe and inviting place for people to grow,4,1,0,0,0,0,0,0
Did Melanie make the black and white bowl in the photo?,Yes,4,1,0,0,0,0,0,0
What kind of books does Caroline have in her library?,"kids' books - classics, stories from different cultures, educational books",4,1,0,0,0,0,0,0
What was Melanie's favorite book from her childhood?,"""Charlotte's Web""",4,1,0,0,0,1,0,1
What book did Caroline recommend to Melanie?,"""Becoming Nicole""",4,1,0,0,0,0,0,0
"What did Caroline take away from the book ""Becoming Nicole""?",Lessons on self-acceptance and finding support,4,1,0,0,0,0,0,0
What are the new shoes that Melanie got used for?,Running,4,1,0,0,0,0,0,0
What is Melanie's reason for getting into running?,To de-stress and clear her mind,4,1,1,1,1,1,0,1
What does Melanie say running has been great for?,Her mental health,4,1,0,0,0,0,0,0
What did Mel and her kids make during the pottery workshop?,pots,4,1,1,1,0,1,0,1
What kind of pot did Mel and her kids make with clay?,a cup with a dog face on it,4,1,1,1,1,1,1,1
What creative project do Mel and her kids do together besides pottery?,painting,4,1,1,1,1,1,0,1
What did Mel and her kids paint in their latest project in July 2023?,a sunset with a palm tree,4,1,0,0,0,0,0,0
What did Caroline see at the council meeting for adoption?,many people wanting to create loving homes for children in need,4,1,1,1,0,0,0,1
What do sunflowers represent according to Caroline?,warmth and happiness,4,1,1,1,1,1,0,1
Why are flowers important to Melanie?,They remind her to appreciate the small moments and were a part of her wedding decor,4,1,0,0,1,1,0,1
What inspired Caroline's painting for the art show?,visiting an LGBTQ center and wanting to capture unity and strength,4,1,0,0,0,0,0,0
How often does Melanie go to the beach with her kids?,once or twice a year,4,1,1,0,1,1,0,1
What did Melanie and her family see during their camping trip last year?,Perseid meteor shower,4,1,0,0,0,0,0,0
How did Melanie feel while watching the meteor shower?,in awe of the universe,4,1,0,0,0,0,0,0
Whose birthday did Melanie celebrate recently?,Melanie's daughter,4,1,0,0,0,0,0,0
Who performed at the concert at Melanie's daughter's birthday?,Matt Patterson,4,1,0,0,0,0,0,0
Why did Melanie choose to use colors and patterns in her pottery project?,She wanted to catch the eye and make people smile.,4,1,0,0,0,0,0,0
What pet does Caroline have?,guinea pig,4,1,0,0,0,0,0,0
What pets does Melanie have?,Two cats and a dog,4,1,0,0,0,0,0,0
Where did Oliver hide his bone once?,In Melanie's slipper,4,1,1,1,1,1,1,1
What activity did Caroline used to do with her dad?,Horseback riding,4,1,0,1,0,0,0,1
What did Caroline make for a local church?,a stained glass window,4,1,0,0,0,0,0,0
What did Caroline find in her neighborhood during her walk?,a rainbow sidewalk,4,1,0,1,0,0,0,1
Which song motivates Caroline to be courageous?,Brave by Sara Bareilles,4,1,0,0,0,0,0,0
Which  classical musicians does Melanie enjoy listening to?,Bach and Mozart,4,1,0,0,1,1,0,1
Who is Melanie a fan of in terms of modern music?,Ed Sheeran,4,1,1,1,1,0,0,1
How long has Melanie been creating art?,7 years,4,1,1,1,0,0,0,1
What precautionary sign did Melanie see at the café?,A sign stating that someone is not being able to leave,4,1,0,0,0,0,0,0
What advice does Caroline give for getting started with adoption?,"Do research, find an adoption agency or lawyer, gather necessary documents, and prepare emotionally.",4,1,0,0,1,0,0,1
What setback did Melanie face in October 2023?,She got hurt and had to take a break from pottery.,4,1,0,0,0,0,0,0
What does Melanie do to keep herself busy during her pottery break?,Read a book and paint.,4,1,0,0,0,0,0,0
"What painting did Melanie show to Caroline on October 13, 2023?",A painting inspired by sunsets with a pink sky.,4,1,0,0,0,0,0,0
"What kind of painting did Caroline share with Melanie on October 13, 2023?",An abstract painting with blue streaks on a wall.,4,1,0,0,0,0,0,0
What was the poetry reading that Caroline attended about?,It was a transgender poetry reading where transgender people shared their stories.,4,1,0,0,0,0,0,0
What did the posters at the poetry reading say?,"""Trans Lives Matter""",4,1,1,1,1,1,1,1
What does Caroline's drawing symbolize for her?,Freedom and being true to herself.,4,1,0,0,0,0,0,0
How do Melanie and Caroline describe their journey through life together?,An ongoing adventure of learning and growing.,4,1,0,0,0,0,1,1
What happened to Melanie's son on their road trip?,He got into an accident,4,1,0,0,0,0,0,0
How did Melanie's son handle the accident?,He was scared but reassured by his family,4,2,1,1,1,1,0,1
How did Melanie feel about her family after the accident?,They are important and mean the world to her,4,1,1,0,0,0,0,1
How did Melanie's children handle the accident?,They were scared but resilient,4,1,0,0,0,0,0,0
How did Melanie feel after the accident?,Grateful and thankful for her family,4,1,0,0,0,0,0,0
What was Melanie's reaction to her children enjoying the Grand Canyon?,She was happy and thankful,4,1,1,1,0,0,0,1
What do Melanie's family give her?,Strength and motivation,4,1,0,0,0,0,0,0
How did Melanie feel about her family supporting her?,She appreciated them a lot,4,1,0,0,0,0,0,0
What did Melanie do after the road trip to relax?,Went on a nature walk or hike,4,1,1,1,0,0,0,1
Did Caroline make the black and white bowl in the photo?,No,5,1,1,1,1,1,0,1
Is Oscar Melanie's pet?,No,5,1,1,0,0,1,0,1
When Jon has lost his job as a banker?,"19 January, 2023",2,1,1,1,0,0,0,1
When Gina has lost her job at Door Dash?,"January, 2023",2,1,1,1,0,0,0,1
How do Jon and Gina both like to destress?,by dancing,4,2,0,0,0,0,0,0
What do Jon and Gina both have in common?,They lost their jobs and decided to start their own businesses.,1,4,0,0,0,0,0,0
Why did Jon decide to start his dance studio?,He lost his job and decided to start his own business to share his passion.,4,2,0,0,0,0,0,0
What Jon thinks the ideal dance studio should look like?,"By the water, with natural light and Marley flooring",1,3,1,1,0,0,0,1
When is Jon's group performing at a festival?,"February, 2023",2,1,1,0,0,0,0,1
When did Gina launch an ad campaign for her store?,"29 January, 2023",2,1,1,1,0,1,0,1
When was Jon in Paris?,28 January 2023,2,1,0,0,0,0,0,0
Which city have both Jean and John visited?,Rome,1,2,0,0,1,1,0,1
When did Gina team up with a local artist for some cool designs?,"February, 2023",2,1,1,1,0,0,0,1
When did Gina get her tattoo?,A few years ago,2,1,0,0,0,0,0,0
When did Jon start to go to the gym?,"March, 2023",2,1,0,0,0,0,0,0
When did Gina open her online clothing store?,"16 March, 2023",2,1,1,1,0,0,0,1
When did Jon start expanding his studio's social media presence?,"April, 2023",2,1,1,1,0,0,0,1
When did Jon host a dance competition?,"May, 2023",2,1,0,0,0,0,0,0
When did Jon go to a fair to get more exposure for his dance studio?,"24 April, 2023",2,1,0,0,0,0,0,0
Why did Gina decide to start her own clothing store?,She always loved fashion trends and finding unique pieces and she lost her job so decided it was time to start her own business.,1,2,0,0,0,0,0,0
Do Jon and Gina start businesses out of what they love?,Yes,1,2,0,0,0,0,0,0
When did Gina interview for a design internship?,"10 May, 2023",2,1,1,1,0,0,0,1
When did Gina get accepted for the design internship?,"27 May, 2023",2,1,1,1,0,0,0,1
"When did Jon start reading ""The Lean Startup""?","May, 2023",2,1,1,1,1,1,0,1
When did Gina develop a video presentation to teach how to style her fashion pieces? ,"June, 2023",2,1,1,1,0,0,0,1
How did Gina promote her clothes store?,"worked with an artist to make unique fashion pieces, made limited-edition sweatshirts, got some new offers and promotions for online store, developed a video presentation showing how to style her pieces",1,4,0,0,0,0,0,0
Which events has Jon participated in to promote his business venture?,"fair, networking events, dance competition",1,3,0,0,0,0,0,0
What does Jon's dance studio offer?,"one-on-one metoring and training to dancers,  workshops and classes to local schools and centers",1,2,0,0,0,0,0,0
When did Jon receive mentorship to promote his venture?,"15 June, 2023",2,1,0,0,0,0,0,0
Did Jon and Gina both participate in dance competitions?,Yes,1,5,1,0,0,0,0,1
When was Jon in Rome?,June 2023,2,1,0,0,0,0,0,0
Which cities has Jon visited?,"Paris, Rome",1,2,0,0,0,0,0,0
When Jon is planning to open his dance studio?,"20 June, 2023",2,1,0,0,0,0,0,0
How long did it take for Jon to open his studio?,six months,1,2,0,0,0,0,0,0
When did Gina design a limited collection of hoodies?,June 2023,2,1,1,1,1,1,0,1
When did Jon visit networking events for his store?,"20 June, 2023",2,1,1,1,0,0,0,1
When did Gina start being recognized by fashion editors?,July 2023,2,1,1,1,0,0,0,1
When did Jon start learning marketing and analytics tools?,"July, 2023",2,1,1,1,0,0,0,1
When did Jon and Gina decide to collaborate to create dance content?,21 July 2023,2,1,0,0,1,1,1,1
When did Gina mention Shia Labeouf?," 23 July, 2023",2,1,1,1,1,1,0,1
When did Gina go to a dance class with a group of friends?,21 July 2023,2,1,1,1,0,0,0,1
What is Gina's favorite style of dance?,Contemporary,4,1,0,0,0,0,0,0
What is Jon's favorite style of dance?,Contemporary,4,1,0,0,0,0,0,0
What was Gina's favorite dancing memory?,Winning first place at a regionals dance competition,4,1,0,0,0,0,0,0
What kind of dance piece did Gina's team perform to win first place?,"""Finding Freedom""",4,1,0,0,0,0,0,0
What do the dancers in the photo represent?,They are performing at the festival,4,1,0,0,0,0,0,0
What does Gina say about the dancers in the photo?,They look graceful,4,1,0,0,0,0,0,0
What is Jon's attitude towards being part of the dance festival?,Glad,4,1,0,0,0,0,0,0
What kind of flooring is Jon looking for in his dance studio?,Marley flooring,4,1,1,1,1,1,0,1
"What did Gina find for her clothing store on 1 February, 2023?",The perfect spot for her store,4,1,0,0,0,0,0,0
What did Gina design for her store?,"the space, furniture, and decor",4,1,0,0,0,0,0,0
What did Gina want her customers to feel in her store?,cozy and comfortable,4,2,0,0,0,0,0,0
What did Jon say about Gina's progress with her store?,hard work's paying off,4,1,0,1,0,1,0,1
What made Gina choose the furniture and decor for her store?,personal style and customer comfort,4,1,0,0,0,1,0,1
What did Jon say about creating a special experience for customers?,It's the key to making them feel welcome and coming back,4,1,1,1,1,1,0,1
What did Gina say about creating an experience for her customers?,making them want to come back,4,1,1,0,0,0,0,1
How is Gina's store doing?,The store is doing great.,4,1,1,0,0,0,0,1
What does Gina's tattoo symbolize?,Freedom and expressing herself through dance,4,1,0,0,0,1,0,1
What did Jon and Gina compare their entrepreneurial journeys to?,dancing together and supporting each other,4,2,0,0,0,0,0,0
What advice does Gina give to Jon about running a successful business?,"build relationships with customers, create a strong brand image, stay positive",4,1,0,0,0,0,0,0
Why did Jon shut down his bank account?,for his business,4,1,1,1,1,1,0,1
Why did Gina combine her clothing business with dance?,she is passionate about dance and fashion,4,1,0,0,0,0,0,0
What does Jon's dance make him?,happy,4,1,0,0,0,0,0,0
What did Gina receive from a dance contest?,a trophy,4,1,1,1,0,0,0,1
How does Gina stay confident in her business?,"By reminding herself of her successes and progress, having a support system, and focusing on why she started",4,1,0,0,0,0,0,0
"What kind of professional experience did Gina get accepted for on May 23, 2023?",fashion internship,4,1,0,0,0,0,0,0
Where is Gina's fashion internship?,fashion department of an international company,4,1,0,0,0,0,0,0
What book is Jon currently reading?,The Lean Startup,4,1,0,0,0,0,0,0
What is Jon offering to the dancers at his dance studio?,One-on-one mentoring and training,4,1,1,1,0,0,0,1
How does Jon use the clipboard with a notepad attached to it?,"To set goals, track achievements, and find areas for improvement",4,1,0,0,0,0,0,0
What does Jon tell Gina he won't do?,quit,4,1,0,0,0,0,0,0
What did Jon take a trip to Rome for?,To clear his mind,4,1,1,1,0,0,0,1
What is Jon working on opening?,a dance studio,4,1,1,1,0,0,0,1
How does Gina describe the studio that Jon has opened?,amazing,4,1,0,0,0,0,0,0
How does Jon feel about the opening night of his dance studio?,excited,4,1,0,0,0,0,0,0
How does Gina describe the feeling that dance brings?,magical,4,1,0,0,0,0,0,0
What does Jon plan to do at the grand opening of his dance studio?,savor all the good vibes,4,1,0,0,0,0,0,0
What does Gina say to Jon about the grand opening?,Let's live it up and make some great memories,4,1,0,0,0,0,0,0
What is the general sentiment about the upcoming grand opening?,excitement,4,2,1,1,1,1,1,1
What did Gina make a limited edition line of?,Hoodies,4,1,1,1,1,0,0,1
"According to Gina, what makes Jon a perfect mentor and guide?",His positivity and determination,4,1,1,1,1,1,0,1
What plans does Jon have after receiving advice at the networking event?,"Sprucing up his business plan, tweaking his pitch to investors, and working on an online platform.",4,1,0,0,0,0,0,0
What offer does Gina make to Jon regarding social media?,Helping with making content and managing his social media accounts.,4,1,0,0,0,0,0,0
"Who did Maria have dinner with on May 3, 2023?",her mother,2,1,0,1,0,0,0,1
When did Maria donate her car?,21 December 2022,2,1,0,0,0,0,0,0
What martial arts has John done?,"Kickboxing, Taekwondo",1,2,0,0,0,0,0,0
What type of volunteering have John and Maria both done?,Volunteering at a homeless shelter,1,2,0,0,0,0,0,0
When did John join the online support group?,The week before 1 January 2023,2,1,0,0,0,0,0,0
When did Maria go to the beach?,December 2022,2,1,0,0,0,0,0,0
Where has Maria made friends?,"homeless shelter, gym, church",1,4,0,0,0,0,0,0
What items des John mention having as a child?,"A doll, a film camera",1,2,0,0,0,0,0,0
What might John's financial status be?,Middle-class or wealthy,3,1,0,0,0,0,0,0
Who gave Maria's family money when she was younger and her family was going through tough times?,Her aunt,1,2,1,0,0,0,0,1
When did Maria meet Jean?,"February 24, 2023",2,1,0,0,0,0,0,0
What people has Maria met and helped while volunteering?,"David, Jean, Cindy, Laura",1,4,1,0,0,0,0,1
What test has John taken multiple times?,The military aptitude test,1,2,0,0,0,0,0,0
When did Maria's grandmother pass away?,The week before 6 March 2023,2,1,0,0,0,0,0,0
Would John be considered a patriotic person?,Yes,3,2,0,0,0,0,0,0
What writing classes has Maria taken?,"Poetry, creative writing",1,2,0,0,0,0,0,0
When did John get his degree?,The week before 2 April 2023,2,1,0,0,0,0,0,0
What might John's degree be in?,"Political science, Public administration, Public affairs",3,1,0,1,0,0,0,1
Who did John go to yoga with?,Rob,1,2,0,0,0,1,0,1
What damages have happened to John's car?,"Broken windshield, Car broke down",1,2,0,0,0,0,0,0
When did John take a road trip to the Pacific Northwest?,2022,2,2,1,1,0,0,0,1
What areas of the U.S. has John been to or is planning to go to?,"Pacific northwest, east coast",1,2,0,0,0,0,0,0
When did John go to a convention with colleagues?,March 2023,2,1,1,1,0,0,0,1
What desserts has Maria made?,"Banana split sundae, Peach cobbler",1,2,0,0,0,0,0,0
When did John start boot camp with his family?,April.2023,2,1,1,1,1,1,0,1
What European countries has Maria been to?,"Spain, England",1,2,0,0,0,0,0,0
What has Maria done to feel closer to her faith?,"Join a local church, buy a cross necklace",1,2,1,1,0,0,0,1
When did John have a party with veterans?,The Friday before 20 May 2023,2,1,0,0,0,0,0,0
What causes does John feel passionate about supporting?,"Veterans, schools, infrastructure",1,4,0,0,0,0,0,0
What events is Maria planning for the homeless shelter funraiser?,"Chili cook-off, ring-toss tournament",1,2,1,1,0,0,0,1
What shelters does Maria volunteer at?,"The homeless shelter, the dog shelter",1,3,0,0,0,0,0,0
When did John get his dog Max?,In 2013,2,1,0,0,0,0,0,0
What outdoor activities has John done with his colleagues?,"Hiking, mountaineering",1,2,0,0,0,0,0,0
What types of yoga has Maria practiced?,"Aerial, kundalini",1,3,0,0,0,0,0,0
When did Maria join a gym?,The week before 16 June 2023,2,1,0,0,0,0,0,0
What states has Maria vacationed at?,"Oregon, Florida",1,2,0,0,0,0,0,0
What music events has John attended?,"Live music event, violin concert",1,2,0,0,0,0,0,0
What events for veterans has John participated in?,"Petition, march, party, visiting veterans hospital, 5K charity run",1,5,1,1,0,0,0,1
When did Maria get in a car accident?,"July 2, 2023",2,1,0,0,0,0,0,0
Around which US holiday did Maria get into a car accident?,Independence Day,3,1,0,0,0,0,0,0
What are the names of John's children?,"Kyle, Sara",1,2,0,0,0,0,0,0
Does John live close to a beach or the mountains?,beach,3,1,0,0,0,0,0,0
What area was hit by a flood?,West County,1,2,1,1,1,1,1,1
When was John's old area hit with a flood?,The week before 7 July 2023,2,1,1,1,1,1,1,1
What activities has Maria done with her church friends?,"Hiking, picnic, volunteer work",1,3,1,1,0,0,0,1
Would John be open to moving to another country?,"No, he has goals specifically in the U.S. like joining the military and running for office.",3,2,0,0,0,0,0,0
When did Maria go hiking with her church friends?,The weekend before 22 July 2023,2,1,1,1,0,0,0,1
What exercises has John done?,"Weight training, Circuit training, Kickboxing, yoga",1,4,0,0,0,0,0,0
When did John have his first firefighter call-out?,The sunday before 3` July 2023,2,1,0,0,0,0,0,0
What food item did Maria drop off at the homeless shelter?,Cakes,1,2,0,0,0,0,0,0
What attributes describe John?,"Selfless, family-oriented, passionate, rational",3,4,0,0,0,0,0,0
When did Maria start volunteering at the homeless shelter?,Around August 2022,2,1,0,0,1,0,0,1
Who have written notes of gratitude to Maria?,"Cindy, Laura",1,2,0,0,1,1,1,1
When did John help renovate his hometown community center?,2022,2,1,1,1,0,0,0,1
When did Maria take up community work with her church friends?,"August 4, 2023",2,1,1,1,0,0,0,1
When did Maria receive a medal from the homeless shelter?,The week before 9 August 2023,2,1,1,1,0,0,0,1
When did John participate in a 5K charity run?,first weekend of August 2023,2,2,1,1,1,1,1,1
What causes has John done events for?,"Toy drive, Community food drive, veterans, domestic violence",1,4,0,0,0,0,0,0
When did Maria get Coco?,Two weeks before 11 August 2023,2,1,0,1,0,0,0,1
When did John go on a camping trip with Max?,The summer of 2022,2,1,1,1,0,1,0,1
What are Maria's dogs' names?,"Coco, Shadow",1,2,0,0,0,0,0,0
When did Maria adopt Shadow?,The week before 13 August 2023,2,1,0,0,0,0,0,0
How many dogs has Maria adopted from the dog shelter she volunteers at?,two,1,2,1,0,0,0,0,1
How many weeks passed between Maria adopting Coco and Shadow?,two weeks,2,2,1,1,0,1,0,1
What job might Maria pursue in the future?,"Shelter coordinator, Counselor",3,4,0,0,0,0,0,0
What is John's main focus in local politics?,Improving education and infrastructure,4,1,0,0,0,0,0,0
What sparked John's interest in improving education and infrastructure in the community?,Seeing how lack of education and crumbling infrastructure affected his neighborhood while growing up.,4,1,0,0,1,0,0,1
How did the extra funding help the school shown in the photo shared by John?,"Enabled needed repairs and renovations, making the learning environment safer and more modern for students.",4,1,0,0,1,0,0,1
What type of workout class did Maria start doing in December 2023?,aerial yoga,4,1,0,0,0,0,0,0
What did Maria donate to a homeless shelter in December 2023?,old car,4,1,0,0,0,0,0,0
What kind of meal did John and his family make together in the photo shared by John?,pizza,4,1,0,0,0,0,0,0
What kind of online group did John join?,service-focused online group,4,1,0,0,0,0,0,0
What kind of activities did John and his mates from the online group do as part of their service efforts?,"gave out food and supplies at a homeless shelter, organized a toy drive for kids in need",4,1,0,0,0,0,0,0
Who inspired Maria to start volunteering?,Her aunt,4,1,1,1,0,0,0,1
Why did Maria sit with the little girl at the shelter event in February 2023?,The girl seemed sad and had no other family,4,1,0,0,0,0,0,0
What did Jean go through before meeting Maria?,"divorce, job loss, homelessness",4,1,0,0,0,0,0,0
Why did John decide to run for office again?,saw the impact he could make in the community through politics,4,1,0,0,0,0,0,0
"What activity did John's colleague, Rob, invite him to?",beginner's yoga class,4,1,1,1,0,0,0,1
What is the name of John's one-year-old child?,Kyle,4,1,1,1,0,0,0,1
How often does John take his kids to the park?,A few times a week,4,1,0,0,0,1,0,1
What did Maria make for her home to remind her of a trip to England?,painting of a castle on a hill,4,1,0,1,0,1,0,1
Where did Maria get the idea for the castle shadow box in her home?,England,4,1,0,0,0,0,0,0
What did John receive a certificate for?,completion of a university degree,4,1,0,0,0,0,0,0
What areas is John particularly interested in for policymaking?,education and infrastructure,4,1,1,1,0,0,0,1
